Datum;Wochentag;Umsatz
14.08.2018;Dienstag;1870
15.08.2018;Mittwoch;3526.5
16.08.2018;Donnerstag;2791.54
17.08.2018;Freitag;1819
18.08.2018;Samstag;2871.43
19.08.2018;Sonntag;1763.5
20.08.2018;Montag;2638.5
21.08.2018;Dienstag;2408
22.08.2018;Mittwoch;1765
23.08.2018;Donnerstag;1915
24.08.2018;Freitag;2639.5
25.08.2018;Samstag;2483.5
26.08.2018;Sonntag;3497.5
27.08.2018;Montag;1924
28.08.2018;Dienstag;3592.5
29.08.2018;Mittwoch;1801.25
30.08.2018;Donnerstag;1833.5
31.08.2018;Freitag;3724.71
01.09.2018;Samstag;1448
02.09.2018;Sonntag;2158.5
03.09.2018;Montag;2166
04.09.2018;Dienstag;2247.5
05.09.2018;Mittwoch;2229.25
06.09.2018;Donnerstag;2848.75
07.09.2018;Freitag;1334
08.09.2018;Samstag;2997.5
09.09.2018;Sonntag;3281.5
10.09.2018;Montag;2241.75
11.09.2018;Dienstag;1734.7
12.09.2018;Mittwoch;2347
13.09.2018;Donnerstag;3502.45
14.09.2018;Freitag;1861.5
15.09.2018;Samstag;2366
16.09.2018;Sonntag;4218.5
17.09.2018;Montag;1921
18.09.2018;Dienstag;1601.5
19.09.2018;Mittwoch;2728.7
20.09.2018;Donnerstag;2333.5
21.09.2018;Freitag;518.5
22.09.2018;Samstag;2466.75
23.09.2018;Sonntag;3801.5
24.09.2018;Montag;3008.5
25.09.2018;Dienstag;2878
26.09.2018;Mittwoch;2441
27.09.2018;Donnerstag;1908.5
28.09.2018;Freitag;2459.5
29.09.2018;Samstag;2049.5
30.09.2018;Sonntag;3377.95
01.10.2018;Montag;1538.3
02.10.2018;Dienstag;1514.5
03.10.2018;Mittwoch;4638
04.10.2018;Donnerstag;2745
05.10.2018;Freitag;1981.5
06.10.2018;Samstag;1737.95
07.10.2018;Sonntag;2560.25
08.10.2018;Montag;2301.1
09.10.2018;Dienstag;1303.75
10.10.2018;Mittwoch;1642
11.10.2018;Donnerstag;1396
12.10.2018;Freitag;1466
13.10.2018;Samstag;1251.5
14.10.2018;Sonntag;2091
15.10.2018;Montag;1793.5
16.10.2018;Dienstag;1426
17.10.2018;Mittwoch;1438.75
18.10.2018;Donnerstag;1581.5
19.10.2018;Freitag;2489.45
20.10.2018;Samstag;2364
21.10.2018;Sonntag;2089.5
22.10.2018;Montag;2238
23.10.2018;Dienstag;1025.5
24.10.2018;Mittwoch;2355.5
25.10.2018;Donnerstag;1806.5
26.10.2018;Freitag;1933.5
27.10.2018;Samstag;2368.5
28.10.2018;Sonntag;3407
29.10.2018;Montag;2876
30.10.2018;Dienstag;2255.5
31.10.2018;Mittwoch;1091
01.11.2018;Donnerstag;2258
02.11.2018;Freitag;1781
03.11.2018;Samstag;2751
04.11.2018;Sonntag;2504.5
05.11.2018;Montag;2281
06.11.2018;Dienstag;554
07.11.2018;Mittwoch;872
08.11.2018;Donnerstag;1295.75
09.11.2018;Freitag;950.5
10.11.2018;Samstag;909.5
11.11.2018;Sonntag;2310
12.11.2018;Montag;1840.5
13.11.2018;Dienstag;791.5
14.11.2018;Mittwoch;1118.5
15.11.2018;Donnerstag;1320.5
16.11.2018;Freitag;837
17.11.2018;Samstag;962.5
18.11.2018;Sonntag;2190
19.11.2018;Montag;1882.5
20.11.2018;Dienstag;738
21.11.2018;Mittwoch;1393
22.11.2018;Donnerstag;795.5
23.11.2018;Freitag;1207.5
24.11.2018;Samstag;1378.5
25.11.2018;Sonntag;2915
26.11.2018;Montag;2046
27.11.2018;Dienstag;571.5
28.11.2018;Mittwoch;1177.8
29.11.2018;Donnerstag;1842
30.11.2018;Freitag;1795
01.12.2018;Samstag;897
02.12.2018;Sonntag;2688.1
03.12.2018;Montag;2918.5
04.12.2018;Dienstag;1689.5
05.12.2018;Mittwoch;1619
06.12.2018;Donnerstag;2786.25
07.12.2018;Freitag;1707.75
08.12.2018;Samstag;2927
09.12.2018;Sonntag;3986.5
10.12.2018;Montag;2195.5
11.12.2018;Dienstag;1159.5
12.12.2018;Mittwoch;2210
13.12.2018;Donnerstag;2254.5
14.12.2018;Freitag;2679.75
15.12.2018;Samstag;2383.25
16.12.2018;Sonntag;2228
17.12.2018;Montag;1512
18.12.2018;Dienstag;2302
19.12.2018;Mittwoch;1896
20.12.2018;Donnerstag;2077
21.12.2018;Freitag;2334.5
22.12.2018;Samstag;1285.25
23.12.2018;Sonntag;1062.5
25.12.2018;Dienstag;1880
26.12.2018;Mittwoch;2097.5
27.12.2018;Donnerstag;1700.5
28.12.2018;Freitag;2547.5
29.12.2018;Samstag;3418
30.12.2018;Sonntag;4327.8
31.12.2018;Montag;3459
01.01.2019;Dienstag;2506
02.01.2019;Mittwoch;1530.5
03.01.2019;Donnerstag;2401
04.01.2019;Freitag;1679
05.01.2019;Samstag;2171
06.01.2019;Sonntag;1609.5
07.01.2019;Montag;1841.5
08.01.2019;Dienstag;564.5
09.01.2019;Mittwoch;683
10.01.2019;Donnerstag;459
11.01.2019;Freitag;859.5
12.01.2019;Samstag;637
13.01.2019;Sonntag;1974.5
14.01.2019;Montag;2283
15.01.2019;Dienstag;195.5
16.01.2019;Mittwoch;578
17.01.2019;Donnerstag;385
18.01.2019;Freitag;539
19.01.2019;Samstag;950
20.01.2019;Sonntag;1710.5
21.01.2019;Montag;2042.5
22.01.2019;Dienstag;316
23.01.2019;Mittwoch;538
24.01.2019;Donnerstag;444.5
25.01.2019;Freitag;681.5
26.01.2019;Samstag;2373.5
27.01.2019;Sonntag;2060.5
28.01.2019;Montag;2683
29.01.2019;Dienstag;589.5
30.01.2019;Mittwoch;727.5
31.01.2019;Donnerstag;674.5
01.02.2019;Freitag;498
02.02.2019;Samstag;1773
03.02.2019;Sonntag;2970
04.02.2019;Montag;2184
05.02.2019;Dienstag;583.5
06.02.2019;Mittwoch;1065
07.02.2019;Donnerstag;988.5
08.02.2019;Freitag;530.5
09.02.2019;Samstag;1858
10.02.2019;Sonntag;2842.5
11.02.2019;Montag;3164
12.02.2019;Dienstag;1306.5
13.02.2019;Mittwoch;1089.5
14.02.2019;Donnerstag;1878
15.02.2019;Freitag;898.5
16.02.2019;Samstag;1700
17.02.2019;Sonntag;1701
18.02.2019;Montag;1295.5
19.02.2019;Dienstag;719.5
20.02.2019;Mittwoch;1363.5
21.02.2019;Donnerstag;1120
22.02.2019;Freitag;940
23.02.2019;Samstag;1857.5
24.02.2019;Sonntag;2344
25.02.2019;Montag;1395
26.02.2019;Dienstag;410.5
27.02.2019;Mittwoch;975.5
28.02.2019;Donnerstag;736.5
01.03.2019;Freitag;1198.5
02.03.2019;Samstag;1694.5
03.03.2019;Sonntag;2990.5
04.03.2019;Montag;3673.5
05.03.2019;Dienstag;1710.5
06.03.2019;Mittwoch;1637
07.03.2019;Donnerstag;1881
08.03.2019;Freitag;1993.5
09.03.2019;Samstag;2422.5
10.03.2019;Sonntag;4163.9
11.03.2019;Montag;1870.5
12.03.2019;Dienstag;1093.5
13.03.2019;Mittwoch;1614.5
14.03.2019;Donnerstag;1350
15.03.2019;Freitag;1469.5
16.03.2019;Samstag;3289.5
17.03.2019;Sonntag;2404
18.03.2019;Montag;2359.5
19.03.2019;Dienstag;1368.5
20.03.2019;Mittwoch;1403.5
21.03.2019;Donnerstag;1701
22.03.2019;Freitag;1077
23.03.2019;Samstag;3447
24.03.2019;Sonntag;2304.5
25.03.2019;Montag;1445
26.03.2019;Dienstag;2065.5
27.03.2019;Mittwoch;1904.5
28.03.2019;Donnerstag;2194
29.03.2019;Freitag;1268.5
30.03.2019;Samstag;4579.5
31.03.2019;Sonntag;1659.5
01.04.2019;Montag;1164
02.04.2019;Dienstag;1595
03.04.2019;Mittwoch;1473.7
04.04.2019;Donnerstag;3179.6
05.04.2019;Freitag;1195.1
06.04.2019;Samstag;1316.5
07.04.2019;Sonntag;1899.5
08.04.2019;Montag;1049.5
09.04.2019;Dienstag;881.2
10.04.2019;Mittwoch;1608.1
11.04.2019;Donnerstag;1050
12.04.2019;Freitag;1616.5
13.04.2019;Samstag;1628.95
14.04.2019;Sonntag;2449.5
15.04.2019;Montag;3071.5
16.04.2019;Dienstag;1742.3
17.04.2019;Mittwoch;1939
18.04.2019;Donnerstag;1212.9
19.04.2019;Freitag;1261
20.04.2019;Samstag;1472.7
21.04.2019;Sonntag;2642
22.04.2019;Montag;1607.5
23.04.2019;Dienstag;884.5
24.04.2019;Mittwoch;924
25.04.2019;Donnerstag;1280.5
26.04.2019;Freitag;1532.5
27.04.2019;Samstag;2344.5
28.04.2019;Sonntag;1406.7
29.04.2019;Montag;2672.5
30.04.2019;Dienstag;1706
01.05.2019;Mittwoch;449.5
02.05.2019;Donnerstag;1586.5
03.05.2019;Freitag;4359.5
04.05.2019;Samstag;3109
05.05.2019;Sonntag;2816.5
06.05.2019;Montag;1755.8
07.05.2019;Dienstag;1129.5
08.05.2019;Mittwoch;1623.2
09.05.2019;Donnerstag;2432
10.05.2019;Freitag;2988.5
11.05.2019;Samstag;1601
12.05.2019;Sonntag;2079.9
13.05.2019;Montag;2019.2
14.05.2019;Dienstag;753
15.05.2019;Mittwoch;1721.5
16.05.2019;Donnerstag;1919.8
17.05.2019;Freitag;2332.7
18.05.2019;Samstag;2317.3
19.05.2019;Sonntag;3180
20.05.2019;Montag;4158.5
21.05.2019;Dienstag;978
22.05.2019;Mittwoch;2742.5
23.05.2019;Donnerstag;2609.2
24.05.2019;Freitag;2280.6
25.05.2019;Samstag;1221
26.05.2019;Sonntag;3091.5
27.05.2019;Montag;2528
28.05.2019;Dienstag;1785.5
29.05.2019;Mittwoch;3610
30.05.2019;Donnerstag;1687.5
31.05.2019;Freitag;3884
01.06.2019;Samstag;3526.5
02.06.2019;Sonntag;3498.3
03.06.2019;Montag;1005.6
04.06.2019;Dienstag;2033.2
05.06.2019;Mittwoch;1670
06.06.2019;Donnerstag;1993.9
07.06.2019;Freitag;2278.7
08.06.2019;Samstag;1247.5
09.06.2019;Sonntag;2212
10.06.2019;Montag;2878
11.06.2019;Dienstag;3099.6
12.06.2019;Mittwoch;2207
13.06.2019;Donnerstag;2463
14.06.2019;Freitag;1344.5
15.06.2019;Samstag;1929.8
16.06.2019;Sonntag;4293.5
17.06.2019;Montag;1391
18.06.2019;Dienstag;1814.5
19.06.2019;Mittwoch;2688.66
20.06.2019;Donnerstag;2360.9
21.06.2019;Freitag;3779.5
22.06.2019;Samstag;2664.3
23.06.2019;Sonntag;2505.2
24.06.2019;Montag;2093.6
25.06.2019;Dienstag;1352
26.06.2019;Mittwoch;2249.1
27.06.2019;Donnerstag;2615
28.06.2019;Freitag;1737.5
29.06.2019;Samstag;2101.9
30.06.2019;Sonntag;2227.1
01.07.2019;Montag;1034.25
02.07.2019;Dienstag;1328.5
03.07.2019;Mittwoch;2356.5
04.07.2019;Donnerstag;1814
05.07.2019;Freitag;1858.25
06.07.2019;Samstag;2406.65
07.07.2019;Sonntag;3721.75
08.07.2019;Montag;3141.37
09.07.2019;Dienstag;2794.95
10.07.2019;Mittwoch;2574.5
11.07.2019;Donnerstag;1942.25
12.07.2019;Freitag;1916
13.07.2019;Samstag;3316.5
14.07.2019;Sonntag;2534.5
15.07.2019;Montag;3098
16.07.2019;Dienstag;3064.5
17.07.2019;Mittwoch;2389
18.07.2019;Donnerstag;3427.25
19.07.2019;Freitag;2011.5
20.07.2019;Samstag;2213.2
21.07.2019;Sonntag;2129
22.07.2019;Montag;2284.5
23.07.2019;Dienstag;4174.2
24.07.2019;Mittwoch;2195
25.07.2019;Donnerstag;2491.75
26.07.2019;Freitag;2269
27.07.2019;Samstag;1484
28.07.2019;Sonntag;2243.95
29.07.2019;Montag;2334
30.07.2019;Dienstag;2643
31.07.2019;Mittwoch;3485.5
01.08.2019;Donnerstag;4460.3
02.08.2019;Freitag;2418.1
03.08.2019;Samstag;3087
04.08.2019;Sonntag;2279.5
05.08.2019;Montag;2030
06.08.2019;Dienstag;2511.5
07.08.2019;Mittwoch;2162
08.08.2019;Donnerstag;4815
09.08.2019;Freitag;3323.5
10.08.2019;Samstag;1922.5
11.08.2019;Sonntag;2649.7
12.08.2019;Montag;2059
13.08.2019;Dienstag;1509.5
14.08.2019;Mittwoch;3760
15.08.2019;Donnerstag;2742.55
16.08.2019;Freitag;5487
17.08.2019;Samstag;2398.6
18.08.2019;Sonntag;4189
19.08.2019;Montag;5254.25
20.08.2019;Dienstag;2577.5
21.08.2019;Mittwoch;2811.5
22.08.2019;Donnerstag;3404
23.08.2019;Freitag;3063.8
24.08.2019;Samstag;3912
25.08.2019;Sonntag;2559.25
26.08.2019;Montag;1981.5
27.08.2019;Dienstag;1529.6
28.08.2019;Mittwoch;2287
29.08.2019;Donnerstag;2143.9
30.08.2019;Freitag;3508
31.08.2019;Samstag;2241.3
01.09.2019;Sonntag;2089.9
02.09.2019;Montag;2073.5
03.09.2019;Dienstag;1842
04.09.2019;Mittwoch;3683
05.09.2019;Donnerstag;2690.4
06.09.2019;Freitag;1993.4
07.09.2019;Samstag;2666.5
08.09.2019;Sonntag;2840
09.09.2019;Montag;1968.6
10.09.2019;Dienstag;2641.5
11.09.2019;Mittwoch;2610.84
12.09.2019;Donnerstag;2419.5
13.09.2019;Freitag;2587.5
14.09.2019;Samstag;2010.5
15.09.2019;Sonntag;2711.25
16.09.2019;Montag;3491.5
17.09.2019;Dienstag;1949.75
18.09.2019;Mittwoch;3074.9
19.09.2019;Donnerstag;3141.6
20.09.2019;Freitag;3991.2
21.09.2019;Samstag;2884.2
22.09.2019;Sonntag;2327
23.09.2019;Montag;1417.5
24.09.2019;Dienstag;1817.9
25.09.2019;Mittwoch;2693
26.09.2019;Donnerstag;2932.5
27.09.2019;Freitag;2579
28.09.2019;Samstag;1642.5
29.09.2019;Sonntag;3599.2
30.09.2019;Montag;3256.5
01.10.2019;Dienstag;2188.5
02.10.2019;Mittwoch;3012
03.10.2019;Donnerstag;923
04.10.2019;Freitag;2649.5
05.10.2019;Samstag;4190
06.10.2019;Sonntag;3543.5
07.10.2019;Montag;1515
08.10.2019;Dienstag;1053.5
09.10.2019;Mittwoch;2187.5
10.10.2019;Donnerstag;1938.5
11.10.2019;Freitag;1524.5
12.10.2019;Samstag;1930
13.10.2019;Sonntag;2405.5
14.10.2019;Montag;1706
15.10.2019;Dienstag;973.5
16.10.2019;Mittwoch;1679
17.10.2019;Donnerstag;2453
18.10.2019;Freitag;1828.5
19.10.2019;Samstag;958.5
20.10.2019;Sonntag;2407
21.10.2019;Montag;2047.5
22.10.2019;Dienstag;749.5
23.10.2019;Mittwoch;1147.5
24.10.2019;Donnerstag;996.7
25.10.2019;Freitag;1264.5
26.10.2019;Samstag;890
27.10.2019;Sonntag;2557.5
28.10.2019;Montag;1250
29.10.2019;Dienstag;1036.1
30.10.2019;Mittwoch;1385
31.10.2019;Donnerstag;2186.5
01.11.2019;Freitag;1311
02.11.2019;Samstag;1655
03.11.2019;Sonntag;3856
04.11.2019;Montag;2091.1
05.11.2019;Dienstag;1066.5
06.11.2019;Mittwoch;1235.5
07.11.2019;Donnerstag;1140.4
08.11.2019;Freitag;607.5
09.11.2019;Samstag;1105
10.11.2019;Sonntag;2038
11.11.2019;Montag;1575
12.11.2019;Dienstag;654.5
13.11.2019;Mittwoch;501
14.11.2019;Donnerstag;817.5
15.11.2019;Freitag;1412
16.11.2019;Samstag;1093.5
17.11.2019;Sonntag;3430.5
18.11.2019;Montag;1974.5
19.11.2019;Dienstag;758.5
20.11.2019;Mittwoch;1060.5
21.11.2019;Donnerstag;769.5
22.11.2019;Freitag;553
23.11.2019;Samstag;1359.5
24.11.2019;Sonntag;1777
25.11.2019;Montag;1725.5
26.11.2019;Dienstag;611.5
27.11.2019;Mittwoch;834
28.11.2019;Donnerstag;1303.5
29.11.2019;Freitag;2092
30.11.2019;Samstag;1667.5
01.12.2019;Sonntag;3263
02.12.2019;Montag;1780.5
03.12.2019;Dienstag;1326.9
04.12.2019;Mittwoch;2106
05.12.2019;Donnerstag;1345
06.12.2019;Freitag;2305.7
07.12.2019;Samstag;2592
08.12.2019;Sonntag;2370
09.12.2019;Montag;1957.5
10.12.2019;Dienstag;1919.5
11.12.2019;Mittwoch;990.5
12.12.2019;Donnerstag;2047
13.12.2019;Freitag;2388
14.12.2019;Samstag;2013.5
15.12.2019;Sonntag;2125.5
16.12.2019;Montag;1712.3
17.12.2019;Dienstag;1173
18.12.2019;Mittwoch;2365.5
19.12.2019;Donnerstag;2311.5
20.12.2019;Freitag;3073.5
21.12.2019;Samstag;1439
22.12.2019;Sonntag;1505.5
23.12.2019;Montag;1544.25
25.12.2019;Mittwoch;905
26.12.2019;Donnerstag;2537.3
27.12.2019;Freitag;1449.5
28.12.2019;Samstag;2087
29.12.2019;Sonntag;2856.25
30.12.2019;Montag;2732.5
31.12.2019;Dienstag;3083.5
01.01.2020;Mittwoch;2053.04
02.01.2020;Donnerstag;996
03.01.2020;Freitag;2191
04.01.2020;Samstag;2576.25
05.01.2020;Sonntag;2643.5
06.01.2020;Montag;1799
07.01.2020;Dienstag;842.5
08.01.2020;Mittwoch;434
09.01.2020;Donnerstag;367
10.01.2020;Freitag;671
11.01.2020;Samstag;1085
12.01.2020;Sonntag;1547.5
13.01.2020;Montag;2054
14.01.2020;Dienstag;422
15.01.2020;Mittwoch;499.5
16.01.2020;Donnerstag;273
17.01.2020;Freitag;181
18.01.2020;Samstag;760
19.01.2020;Sonntag;1980
20.01.2020;Montag;955
21.01.2020;Dienstag;254
22.01.2020;Mittwoch;698
23.01.2020;Donnerstag;488
24.01.2020;Freitag;648
25.01.2020;Samstag;1829
26.01.2020;Sonntag;2075.5
27.01.2020;Montag;1836
28.01.2020;Dienstag;800
29.01.2020;Mittwoch;468
30.01.2020;Donnerstag;1372
31.01.2020;Freitag;998
01.02.2020;Samstag;1678.5
02.02.2020;Sonntag;2677
03.02.2020;Montag;2385.5
04.02.2020;Dienstag;516
05.02.2020;Mittwoch;891
06.02.2020;Donnerstag;454.5
07.02.2020;Freitag;1871
08.02.2020;Samstag;1966.5
09.02.2020;Sonntag;1951
10.02.2020;Montag;1050
11.02.2020;Dienstag;983
12.02.2020;Mittwoch;1015
13.02.2020;Donnerstag;1316.5
14.02.2020;Freitag;1459
15.02.2020;Samstag;2517.5
16.02.2020;Sonntag;2246.5
17.02.2020;Montag;2520
18.02.2020;Dienstag;493
19.02.2020;Mittwoch;1181
20.02.2020;Donnerstag;628
21.02.2020;Freitag;1130
22.02.2020;Samstag;2324
23.02.2020;Sonntag;3051
24.02.2020;Montag;3048
25.02.2020;Dienstag;946
26.02.2020;Mittwoch;892
27.02.2020;Donnerstag;830
28.02.2020;Freitag;988
29.02.2020;Samstag;2142
01.03.2020;Sonntag;2265
02.03.2020;Montag;1463.5
03.03.2020;Dienstag;289
04.03.2020;Mittwoch;1704
05.03.2020;Donnerstag;758
06.03.2020;Freitag;816.5
07.03.2020;Samstag;1651
08.03.2020;Sonntag;1498
09.03.2020;Montag;1328
10.03.2020;Dienstag;880
11.03.2020;Mittwoch;715
12.03.2020;Donnerstag;502
13.03.2020;Freitag;712
14.03.2020;Samstag;1589
